,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,
"File MORT/7-1: Life expectancy at birth (both sexes combined) by region, subregion and country, 1950-2100 (years)",,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/MORT/F07-1,,,,,,,,,,,,,,,,,,,,
"ý August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Life expectancy at birth for both sexes combined (years),,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
27,Estimates,Burundi,,108,Country/Area,910,39.03,40.53,42.03,43.53,44.23,46.29,47.28,48.51,47.03,47.32,51.42,55.27,58.92,61.03
28,Estimates,Comoros,,174,Country/Area,910,38.72,40.47,42.47,44.48,46.85,49.06,52.29,55.29,57.82,59.29,59.60,60.89,62.83,63.98
29,Estimates,Djibouti,,262,Country/Area,910,41.04,42.95,45.18,47.35,50.90,52.55,54.67,56.11,57.02,57.02,57.29,59.05,61.56,66.54
30,Estimates,Eritrea,,232,Country/Area,910,34.08,36.68,40.08,42.15,44.12,45.91,47.33,48.69,50.77,53.97,56.70,60.71,63.42,65.74
31,Estimates,Ethiopia,,231,Country/Area,910,34.08,36.68,40.08,42.14,43.52,44.26,43.52,46.15,48.07,50.70,53.61,59.08,63.70,65.97
32,Estimates,Kenya,,404,Country/Area,910,42.57,45.10,48.44,51.12,53.96,56.49,58.83,58.60,55.66,51.77,51.69,58.49,62.92,66.18
33,Estimates,Madagascar,,450,Country/Area,910,36.32,38.75,41.17,43.53,45.97,48.08,49.66,49.91,52.66,56.68,60.03,62.23,64.51,66.49
34,Estimates,Malawi,,454,Country/Area,910,34.85,35.99,37.38,38.59,41.07,43.25,45.12,45.85,46.14,45.55,45.61,51.31,59.56,63.43
35,Estimates,Mauritius,1,480,Country/Area,910,50.20,55.75,61.22,62.95,63.53,65.66,68.12,68.52,70.28,70.39,72.09,72.76,74.15,74.76
36,Estimates,Mayotte,2,175,Country/Area,910,47.26,52.81,57.07,60.71,63.87,66.61,69.02,71.14,73.09,74.86,76.47,77.95,79.34,79.35
37,Estimates,Mozambique,,508,Country/Area,910,35.00,37.99,40.49,40.92,41.91,43.46,43.48,44.35,46.29,47.95,49.88,51.09,54.21,60.05
38,Estimates,R¨¦union,2,638,Country/Area,910,47.86,53.44,57.72,61.38,64.59,67.28,69.64,71.74,73.58,75.28,76.83,78.20,79.54,80.03
39,Estimates,Rwanda,,646,Country/Area,910,40.15,41.75,43.40,44.49,44.95,46.20,50.27,48.70,21.79,45.09,50.41,60.03,65.79,68.44
40,Estimates,Seychelles,,690,Country/Area,910,61.90,62.94,63.92,65.39,67.35,69.24,70.56,70.77,70.74,70.80,71.56,72.60,73.07,73.29
41,Estimates,Somalia,,706,Country/Area,910,33.99,35.99,37.97,39.99,41.91,43.80,45.48,46.38,44.96,49.80,51.49,53.18,54.86,56.94
42,Estimates,South Sudan,,728,Country/Area,910,27.93,30.59,32.73,34.88,36.70,38.68,39.45,41.81,45.32,48.17,50.19,53.28,56.06,57.43
