,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,
"File MORT/1-1: Infant mortality rate (both sexes combined) by region, subregion and country, 1950-2100 (infant deaths per 1,000 live births)",,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/MORT/F01-1,,,,,,,,,,,,,,,,,,,,
"ý August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Infant mortality rate, 1q0, for both sexes combined (infant deaths per 1,000 live births)",,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
13,Estimates,Upper-middle-income countries,h,1502,Income Group,1517,   132,   124,   121,   93,   75,   62,   50,   43,   39,   33,   26,   20,   15,   12
14,Estimates,Lower-middle-income countries,h,1501,Income Group,1517,   178,   159,   145,   133,   125,   112,   99,   88,   80,   71,   61,   52,   43,   37
15,Estimates,Low-income countries,h,1500,Income Group,1802,   191,   175,   164,   150,   139,   130,   122,   113,   107,   95,   81,   67,   56,   48
16,Estimates,No income group available,,1518,Income Group,1802,   107,   87,   71,   60,   50,   45,   39,   30,   25,   20,   17,   14,   12,   11
17,Estimates,Geographic regions,i,1840,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...
18,Estimates,Africa,j,903,Region,1840,   183,   168,   154,   143,   133,   121,   111,   104,   101,   93,   81,   68,   56,   47
19,Estimates,Asia,k,935,Region,1840,   155,   145,   136,   113,   100,   90,   78,   67,   62,   55,   46,   37,   30,   25
20,Estimates,Europe,l,908,Region,1840,   72,   50,   37,   30,   25,   22,   18,   16,   13,   10,   8,   6,   5,   4
21,Estimates,Latin America and the Caribbean,m,904,Region,1840,   126,   113,   101,   91,   80,   70,   59,   48,   38,   31,   25,   20,   17,   15
22,Estimates,Northern America,n,905,Region,1840,   31,   28,   25,   22,   18,   14,   11,   10,   8,   7,   7,   7,   6,   6
23,Estimates,Oceania,o,909,Region,1840,   64,   56,   50,   45,   40,   37,   33,   29,   27,   26,   26,   23,   20,   18
